split,seed,model,estimates,dimension,group,rows,mae,rmse,log_rmse
time,42,histgb,True,Town Code,25,400,83046.73868646676,106317.63193633499,0.27999593157957203
time,42,histgb,True,Town Code,26,200,95742.98631496575,116436.49050285511,0.4026196522155544
time,42,histgb,True,Town Code,27,251,83377.17115407363,111879.63810838354,0.3442826228788007
time,42,histgb,True,Town Code,28,456,56911.83131326445,73927.3953409715,0.25568803532055373
time,42,histgb,True,Town Code,29,621,64861.49826713476,81797.84563339787,0.2787289697860325
time,42,histgb,True,Town Code,30,224,66085.90532721086,82372.82876397972,0.3591960913455825
time,42,histgb,True,Town Code,31,987,82522.55634828209,100404.95742250611,0.6445551123165446
time,42,histgb,True,Town Code,32,628,47875.191398182964,61205.566344377694,0.4767206093894774
time,42,histgb,True,Town Code,33,44,87265.8341156936,121584.0490375008,0.2857378637853237
time,42,histgb,True,Town Code,34,119,89507.39600994089,109165.3885790615,0.4087720828599445
time,42,histgb,True,Town Code,35,519,74674.37928124215,87643.05963273866,0.3343819787096338
time,42,histgb,True,Town Code,36,244,69438.48586841556,81020.07469778814,0.5140981960261529
time,42,histgb,True,Town Code,37,1048,44189.00847259545,57375.05753097111,0.6518578102318902
time,42,histgb,True,Town Code,38,782,71098.00781960267,87834.47177046782,0.30244399905525554
time,42,histgb,True,Town Code,39,823,61892.13970779426,74088.25899824117,0.4514005107806291
time,42,histgb,True,Town Code,70,1124,55586.03324696231,74473.71405047826,0.6105240232744785
time,42,histgb,True,Town Code,71,2182,83313.34712015853,109432.0081428634,0.37634970661973455
time,42,histgb,True,Town Code,72,2890,59298.048584965996,76555.71790423332,0.5611861688478935
time,42,histgb,True,Town Code,73,111,96305.61696504481,129871.37063247195,0.29775627876073973
time,42,histgb,True,Town Code,74,4,43839.386924695675,54660.9748396129,0.16864511350322434
time,42,histgb,True,Town Code,75,110,78161.21796347456,101124.2154454435,0.28687749505022847
time,42,histgb,True,Town Code,76,179,97549.34834573414,130409.96521169976,0.5641414462299535
time,42,histgb,True,Town Code,77,577,80862.75503350711,105516.60340612874,0.6702949450855507
time,42,histgb,False,price_band,<100k,3012,22554.767744745142,39530.505809544506,0.4666512170714087
time,42,histgb,False,price_band,100k-250k,8216,68344.99758753338,79216.99466615147,0.6087501453505578
time,42,histgb,False,price_band,250k-500k,7197,93269.7666922506,110757.92495928309,0.4413931549962044
time,42,histgb,False,price_band,500k-1m,1774,156148.12852119713,187542.51528104433,0.40786924265133057
time,42,histgb,False,Property Class,202,3308,70880.18530135813,94987.11864488607,0.6461265661731276
time,42,histgb,False,Property Class,203,9737,77200.51282007094,98848.86026566813,0.5427118425036044
time,42,histgb,False,Property Class,204,1264,75461.94669111354,97402.23534560941,0.3549099702321662
time,42,histgb,False,Property Class,205,2116,86742.9071216188,111775.63873180992,0.5108382975896584
time,42,histgb,False,Property Class,206,584,106390.02152018578,136240.55583117928,0.3958502794535651
time,42,histgb,False,Property Class,207,770,80962.42426524774,103284.72114844283,0.44696475193750496
time,42,histgb,False,Property Class,208,157,95031.75617603608,115695.23952980008,0.262066565553831
time,42,histgb,False,Property Class,209,24,105294.19622096897,140867.63070596574,0.321086492122086
time,42,histgb,False,Property Class,278,2239,76240.25343156383,98899.58869585703,0.2827015793653623
time,42,histgb,False,Town Code,10,107,102227.83156778448,134976.56779962522,0.41394089803437034
time,42,histgb,False,Town Code,11,323,102141.66605902588,121964.15226787321,0.6154357063989205
time,42,histgb,False,Town Code,12,536,47571.912536225514,62030.191112120025,0.5629645572762374
time,42,histgb,False,Town Code,13,637,56425.6560788891,66983.219355123,0.5497010796084655
time,42,histgb,False,Town Code,14,87,49982.27487273528,64349.849319239736,0.7805812470399406
time,42,histgb,False,Town Code,15,208,93214.8515965125,106279.25750448131,0.7864053606969087
time,42,histgb,False,Town Code,16,374,72358.29046265133,87822.48635911338,0.2922562072850584
time,42,histgb,False,Town Code,17,198,116786.05713534445,143020.4647064684,0.3934142333051252
time,42,histgb,False,Town Code,18,603,66038.03311148589,74713.53648016529,0.39689736914358026
time,42,histgb,False,Town Code,19,167,74475.03498171295,93507.33068636096,0.2741386923138868
time,42,histgb,False,Town Code,20,585,87286.2395594261,104081.58631254558,0.5262308779740016
time,42,histgb,False,Town Code,21,543,93986.79903159973,119820.59716426501,0.4506160294734687
time,42,histgb,False,Town Code,22,649,79648.47416209866,101188.43572267288,0.3171452341437157
time,42,histgb,False,Town Code,23,198,89286.9123515896,111878.24115171237,0.24079733956941352
time,42,histgb,False,Town Code,24,461,79752.19832118052,98031.12097477567,0.3129703356704177
time,42,histgb,False,Town Code,25,400,86557.9440850639,109655.35366316284,0.27926220631996324
time,42,histgb,False,Town Code,26,200,89006.42348747503,109721.72678916676,0.36377716873456917
time,42,histgb,False,Town Code,27,251,106852.55880399152,135435.10011735032,0.3971310167587721
time,42,histgb,False,Town Code,28,456,64055.322647135414,82832.19654092891,0.2828804604981869
time,42,histgb,False,Town Code,29,621,60835.804796250115,74615.99526555049,0.24969753844267853
time,42,histgb,False,Town Code,30,224,73764.3893951786,92895.9995809162,0.4042266750680216
time,42,histgb,False,Town Code,31,987,86074.82642200694,106230.39882976747,0.6154904683864492
time,42,histgb,False,Town Code,32,628,49105.23297605602,62605.54474138938,0.4715021236096683
time,42,histgb,False,Town Code,33,44,153290.98963145024,176788.71832205995,0.3859763290528469
time,42,histgb,False,Town Code,34,119,108301.89020055601,130993.18754858537,0.44090230264864044
time,42,histgb,False,Town Code,35,519,74273.02361588806,86380.57819657808,0.3093479285912137
time,42,histgb,False,Town Code,36,244,68811.13287469576,79734.76489657159,0.4945241993672156
time,42,histgb,False,Town Code,37,1048,43181.588660185036,55466.58792500824,0.6319574957798997
time,42,histgb,False,Town Code,38,782,68450.86056465734,87062.51517590726,0.2796875370060408
time,42,histgb,False,Town Code,39,823,63781.70407296743,75876.1028872489,0.45725710546642917
time,42,histgb,False,Town Code,70,1124,61956.655457261935,88190.11639750678,0.6754684035530721
time,42,histgb,False,Town Code,71,2182,110126.39844960821,138347.59250732392,0.47911113919908344
time,42,histgb,False,Town Code,72,2890,71738.8534014608,90183.65657461256,0.6318219661586991
time,42,histgb,False,Town Code,73,111,173276.79511610762,210437.06309619456,0.4514597307934877
